plate,Lifespan_Number,Worm Strain,Bacteria,Treatment,Date Eggs Picked,Date FUDR Added,Date of Adulthood,Temp
1,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
2,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
3,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
4,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
5,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
6,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
7,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
8,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
9,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
10,LS1,N2,PAD12,,06/21/23,06/23/23,06/23/23,20c
11,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
12,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
13,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
14,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
15,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
16,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
17,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
18,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
19,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
20,LS1,daf-2(e1370),PAD12,,06/21/23,06/23/23,06/23/23,20c
21,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
22,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
23,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
24,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
25,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
26,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
27,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
28,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
29,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
30,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
31,LS2,N2,OP50,None,06/25/23,06/27/23,06/27/23,20c
32,LS2,N2,OP50,PEG,06/25/23,06/27/23,06/27/23,20c
33,LS2,N2,OP50,PEG,06/25/23,06/27/23,06/27/23,20c
34,LS2,N2,OP50,PEG,06/25/23,06/27/23,06/27/23,20c
35,LS2,N2,OP50,PEG,06/25/23,06/27/23,06/27/23,20c
36,LS2,N2,OP50,PEG,06/25/23,06/27/23,06/27/23,20c
37,LS2,N2,OP50,PEG,06/25/23,06/27/23,06/27/23,20c
38,LS2,N2,OP50,PEG,06/25/23,06/27/23,06/27/23,20c
39,LS2,N2,OP50,PEG,06/25/23,06/27/23,06/27/23,20c
40,LS2,N2,OP50,PEG,06/25/23,06/27/23,06/27/23,20c
41,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
42,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
43,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
44,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
45,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
46,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
47,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
48,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
49,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
50,LS2,N2,OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
51,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
52,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
53,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
54,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
55,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
56,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
57,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
58,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
59,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
60,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
61,LS2,daf-2(e1370),OP50,None,06/25/23,06/27/23,06/27/23,20c
62,LS2,daf-2(e1370),OP50,PEG,06/25/23,06/27/23,06/27/23,20c
63,LS2,daf-2(e1370),OP50,PEG,06/25/23,06/27/23,06/27/23,20c
64,LS2,daf-2(e1370),OP50,PEG,06/25/23,06/27/23,06/27/23,20c
65,LS2,daf-2(e1370),OP50,PEG,06/25/23,06/27/23,06/27/23,20c
66,LS2,daf-2(e1370),OP50,PEG,06/25/23,06/27/23,06/27/23,20c
67,LS2,daf-2(e1370),OP50,PEG,06/25/23,06/27/23,06/27/23,20c
68,LS2,daf-2(e1370),OP50,PEG,06/25/23,06/27/23,06/27/23,20c
69,LS2,daf-2(e1370),OP50,PEG,06/25/23,06/27/23,06/27/23,20c
70,LS2,daf-2(e1370),OP50,PEG,06/25/23,06/27/23,06/27/23,20c
71,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
72,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
73,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
74,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
75,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
76,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
77,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
78,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
79,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
80,LS2,daf-2(e1370),OP50,palmitic acid,06/25/23,06/27/23,06/27/23,20c
